MSOA_name,MSOA_code,Rec_obesity,Rec_overweight,Y6_obesity,Y6_overweight,All households,not deprived,deprived in one,deprived in two,deprived in three,deprived in four,x,y
Bury 024,E02001042,7.142857143,17.85714286,23.07692308,34.61538462,2893,1494,910,400,86,3,381370.4261,403523.4078
Bury 025,E02001043,6.666666667,16.66666667,24.13793103,34.48275862,2373,1167,770,327,103,6,380934.6656,402822.9957
Bury 026,E02001044,6.382978723,21.27659574,13.1147541,29.50819672,2793,1423,948,323,93,6,382643.3557,402811.7987
Manchester 001,E02001045,14.92537313,32.8358209,21.25,36.25,3602,1212,1288,799,285,18,385019.2637,404177.1847
Manchester 002,E02001046,13.97849462,25.80645161,29.41176471,44.11764706,4379,1709,1496,865,294,15,386008.0016,403386.082
Manchester 003,E02001047,13.92405063,27.84810127,24.70588235,42.35294118,4359,1613,1501,922,309,14,387749.7557,403086.7196
Manchester 004,E02001048,12,24,29.16666667,43.05555556,3487,1388,1280,592,208,19,384051.0826,402850.5009
Manchester 005,E02001049,12.16216216,29.72972973,23.45679012,41.97530864,4204,1767,1438,764,225,10,388776.0303,402237.7641
Manchester 006,E02001050,9.411764706,22.35294118,28.91566265,44.57831325,3161,1057,1160,667,256,21,385782.7576,402091.6619
Manchester 007,E02001051,13.82978723,27.65957447,28.08988764,44.94382022,3527,1358,1283,645,227,14,387135.9471,401783.8332
Manchester 008,E02001052,12.6984127,23.01587302,26.17449664,42.95302013,4412,1406,1645,1012,326,23,384355.7009,401586.0667
Manchester 009,E02001053,12.5,26.92307692,31.09243697,45.37815126,4586,1362,1666,993,535,30,386297.0385,401095.3718
Manchester 011,E02001055,14.63414634,30.48780488,25,44.04761905,3988,1429,1319,868,359,13,388245.0553,400271.8645
Manchester 012,E02001056,14.11764706,25.88235294,31.25,45.83333333,3444,1022,1214,817,365,26,388338.3432,399069.2584
Manchester 013,,13.04347826,31.88405797,29.85074627,44.7761194,,,,,,,,
Manchester 015,E02001059,11.66666667,23.33333333,27.88461538,41.34615385,4799,1914,1632,870,365,18,387360.5108,398083.5211
Manchester 017,E02001061,15.55555556,28.88888889,31.13207547,44.33962264,4322,1501,1472,956,365,28,389022.2986,397080.38
