MSOA_name,MSOA_code,Rec_obesity,Rec_overweight,Y6_obesity,Y6_overweight,Sum,"L1, L2 and L3","L4, L5 and L6",L7,L8 and L9,L10 and L11,L12,L13,L14.1 and L14.2,L15,x,y
Bury 007,E02001025,12.5,27.5,27.08333333,43.75,2081,175,345,208,214,144,350,390,223,32,382114.3303,411517.2418
Bury 008,E02001026,12.5,26.38888889,32.35294118,45.58823529,2761,181,398,276,415,163,414,575,303,36,381220.5915,410913.1202
Bury 009,E02001027,10.81081081,27.02702703,28.94736842,42.10526316,1865,238,427,262,188,142,240,246,103,19,379204.3524,411092.8885
Bury 010,E02001028,7.407407407,14.81481481,13.79310345,24.13793103,1704,420,494,204,211,104,96,134,35,6,378207.8229,410435.4002
Bury 011,E02001029,10.81081081,21.62162162,28.88888889,42.22222222,1839,179,336,221,292,117,248,297,131,18,380586.6754,409821.1828
Bury 012,E02001030,11.11111111,22.22222222,23.07692308,34.61538462,1659,361,464,177,227,105,125,150,41,9,376459.6505,409125.0271
Bury 013,E02001031,6.666666667,20,22.58064516,38.70967742,1685,235,359,178,254,119,217,208,97,18,380600.3492,408763.4668
Bury 014,E02001032,9.375,25,19.44444444,36.11111111,1987,237,456,275,261,162,234,263,79,20,377682.2465,408237.1639
Bury 015,E02001033,14.28571429,32.14285714,30,43.33333333,1654,183,354,235,166,151,209,246,91,19,379431.0035,407964.7771
Bury 016,E02001034,11.11111111,24.44444444,24.44444444,42.22222222,2120,152,339,274,199,183,362,392,184,35,377882.8015,407411.6613
Bury 017,E02001035,11.53846154,23.07692308,25.80645161,32.25806452,1793,382,512,186,244,120,146,132,61,10,381466.6076,407092.5541
Bury 018,E02001036,10,25,17.5,32.5,1971,315,417,226,233,131,247,262,105,35,378636.2226,406309.1719
Bury 019,E02001037,7.692307692,19.23076923,10.34482759,20.68965517,1740,484,527,164,240,72,111,98,35,9,380020.4017,405993.0691
Bury 020,E02001038,12.5,20.83333333,29.62962963,40.74074074,1468,247,355,180,182,86,167,173,67,11,380770.8771,405716.4866
Bury 021,E02001039,13.33333333,33.33333333,28,40,2311,243,469,304,268,184,315,314,177,37,381585.4072,405784.7192
Bury 022,E02001040,11.11111111,25.92592593,25.92592593,40.74074074,1586,362,416,180,219,83,141,120,54,11,381892.3276,405040.9587
Bury 023,E02001041,8.823529412,23.52941176,25.71428571,34.28571429,2075,388,561,257,206,105,212,225,104,17,382067.3488,403980.1758
Bury 024,E02001042,7.142857143,17.85714286,23.07692308,34.61538462,1585,400,466,171,173,70,111,115,72,7,381370.4261,403523.4078
Bury 025,E02001043,6.666666667,16.66666667,24.13793103,34.48275862,1477,311,401,153,161,72,163,132,71,13,380934.6656,402822.9957
Bury 026,E02001044,6.382978723,21.27659574,13.1147541,29.50819672,2002,465,554,206,332,95,149,127,61,13,382643.3557,402811.7987
Manchester 001,E02001045,14.92537313,32.8358209,21.25,36.25,2135,130,373,278,215,140,368,369,220,42,385019.2637,404177.1847
Manchester 002,E02001046,13.97849462,25.80645161,29.41176471,44.11764706,2914,309,513,365,339,172,383,477,292,64,386008.0016,403386.082
Manchester 003,E02001047,13.92405063,27.84810127,24.70588235,42.35294118,2610,229,459,319,279,160,427,478,192,67,387749.7557,403086.7196
Manchester 004,E02001048,12,24,29.16666667,43.05555556,2166,207,374,245,388,132,311,306,161,42,384051.0826,402850.5009
Manchester 005,E02001049,12.16216216,29.72972973,23.45679012,41.97530864,2720,295,502,376,341,189,350,435,167,65,388776.0303,402237.7641
Manchester 006,E02001050,9.411764706,22.35294118,28.91566265,44.57831325,2035,111,244,196,293,136,339,421,238,57,385782.7576,402091.6619
Manchester 007,E02001051,13.82978723,27.65957447,28.08988764,44.94382022,2392,178,379,270,252,166,388,463,220,76,387135.9471,401783.8332
Manchester 008,E02001052,12.6984127,23.01587302,26.17449664,42.95302013,3136,193,391,265,716,160,459,537,359,56,384355.7009,401586.0667
Manchester 009,E02001053,12.5,26.92307692,31.09243697,45.37815126,2901,142,318,298,240,182,493,692,425,111,386297.0385,401095.3718
Manchester 011,E02001055,14.63414634,30.48780488,25,44.04761905,2387,146,364,280,235,147,370,500,288,57,388245.0553,400271.8645
Manchester 012,E02001056,14.11764706,25.88235294,31.25,45.83333333,2178,101,249,233,214,151,380,477,295,78,388338.3432,399069.2584
Manchester 013,,13.04347826,31.88405797,29.85074627,44.7761194,0,,,,,,,,,,,
Manchester 015,E02001059,11.66666667,23.33333333,27.88461538,41.34615385,3091,293,494,303,294,202,461,571,353,120,387360.5108,398083.5211
Manchester 017,E02001061,15.55555556,28.88888889,31.13207547,44.33962264,2799,202,405,328,239,186,442,563,350,84,389022.2986,397080.38
Manchester 018,E02001062,16.66666667,23.07692308,30.12048193,44.57831325,2311,236,388,220,240,116,269,353,271,218,385481.7887,396662.0324
Manchester 019,E02001063,12.5,25,23.91304348,39.13043478,2130,291,397,191,184,85,198,242,153,389,383833.3449,396449.7333
Manchester 020,E02001064,15.05376344,24.7311828,30.39215686,45.09803922,2570,173,344,257,349,213,341,539,294,60,387249.9184,396292.9268
