MSOA_name,MSOA_code,Rec_obesity,Rec_overweight,Y6_obesity,Y6_overweight,Sum,"L1, L2 and L3","L4, L5 and L6",L7,L8 and L9,L10 and L11,L12,L13,L14.1 and L14.2,L15,x,y
Salford 027,E02001183,11.11111111,22.22222222,21.95121951,39.02439024,2006,191,421,266,198,171,254,343,134,28,376144.0134,398005.3863
Salford 028,,14.28571429,26.98412698,32.8125,46.875,0,,,,,,,,,,,
Salford 029,E02001185,11.42857143,25.71428571,25.64102564,38.46153846,2483,261,470,338,266,218,332,441,138,19,372503.7228,395045.2496
Salford 030,E02001186,8.75,22.5,25.92592593,37.03703704,2756,354,590,358,252,238,348,454,137,25,370988.5385,392622.6272
Stockport 001,E02001187,9.090909091,30.3030303,26.92307692,40.38461538,1854,239,394,278,229,136,211,278,74,15,389834.1467,394267.8592
Stockport 002,E02001188,9.615384615,25,22.72727273,39.39393939,2365,266,501,319,258,140,367,345,145,24,389131.1082,394121.3996
Stockport 003,E02001189,11.36363636,27.27272727,17.0212766,29.78723404,2239,404,564,284,271,157,216,262,65,16,389379.981,392830.5872
Stockport 004,E02001190,13.79310345,29.31034483,25.71428571,41.42857143,2034,134,308,227,159,146,364,394,279,23,391161.1497,392562.1399
Stockport 005,E02001191,7.407407407,22.22222222,24.24242424,39.39393939,1367,266,345,171,181,88,118,144,48,6,393845.5171,392295.7377
Stockport 006,E02001192,,17.85714286,13.88888889,25,1648,594,438,147,192,61,98,73,38,7,388243.595,392255.9914
Stockport 007,E02001193,9.756097561,24.3902439,28.57142857,47.61904762,1745,240,399,239,176,115,227,242,93,14,389267.193,391556.66
Stockport 008,E02001194,4.87804878,17.07317073,17.0212766,25.53191489,1563,563,475,122,187,51,73,59,30,3,387353.0841,391627.9212
Stockport 009,E02001195,9.523809524,21.42857143,19.56521739,36.95652174,2007,303,475,286,257,169,192,240,77,8,392419.7873,391544.407
Stockport 010,E02001196,9.523809524,21.42857143,20,30,1931,448,504,238,269,116,169,133,48,6,394770.9248,390970.6866
Stockport 011,E02001197,7.317073171,19.51219512,16,28,1643,437,467,163,208,69,130,98,61,10,388101.9603,390842.2234
Stockport 012,E02001198,13.33333333,28.88888889,23.21428571,35.71428571,1815,259,392,201,238,110,245,240,116,14,393128.9969,390836.3821
Stockport 013,E02001199,7.142857143,19.04761905,15.90909091,25,1995,649,594,186,252,72,99,93,44,6,386839.2158,390741.3195
Stockport 014,E02001200,10.86956522,26.08695652,30.6122449,46.93877551,1969,199,348,256,210,115,286,333,195,27,389781.3131,390246.4625
Stockport 015,E02001201,6.060606061,21.21212121,25,32.5,1596,250,364,250,198,111,183,186,43,11,391061.8902,389863.947
Stockport 016,E02001202,14.63414634,31.70731707,25.64102564,38.46153846,1859,226,411,296,176,118,243,253,113,23,388755.9845,389557.4026
Stockport 017,E02001203,,16.66666667,9.090909091,24.24242424,1427,558,429,98,196,43,49,40,14,0,396885.1983,389579.3247
Stockport 018,E02001204,9.259259259,24.07407407,22.95081967,42.62295082,2451,412,668,328,267,149,237,288,90,12,387762.655,389350.748
Stockport 019,E02001205,10.81081081,24.32432432,22.22222222,37.03703704,2297,278,508,366,240,193,256,343,98,15,390511.7137,389292.1707
Stockport 020,E02001206,5,15,12.5,25,1797,464,510,182,243,101,143,98,51,5,395290.9028,388740.8996
Stockport 021,E02001207,9.756097561,19.51219512,16.66666667,33.33333333,1732,345,452,226,244,114,146,167,32,6,392829.5532,388450.7898
Stockport 022,E02001208,11.76470588,23.52941176,19.04761905,35.71428571,2008,366,569,264,258,114,179,187,64,7,386938.1083,388504.1553
Stockport 023,E02001209,6.25,16.66666667,25.92592593,37.03703704,2158,398,581,270,226,125,220,242,87,9,389510.014,388643.3183
Stockport 024,E02001210,13.04347826,28.26086957,25,39.0625,1891,222,413,257,214,135,240,265,126,19,391723.9645,388505.3901
Stockport 025,E02001211,8.108108108,13.51351351,16,34,1667,559,498,149,199,60,82,71,45,4,384463.0682,388542.9022
Stockport 026,E02001212,13.04347826,26.08695652,23.68421053,39.47368421,1820,206,331,211,170,152,262,316,154,18,388653.1609,388219.45
Stockport 027,E02001213,7.317073171,24.3902439,14.28571429,26.98412698,2624,652,753,330,319,142,183,177,54,14,390774.0248,387893.1872
Stockport 028,E02001214,10,20,20,32.5,1853,587,460,158,278,60,133,102,71,4,385349.7327,387883.6473
Stockport 029,E02001215,8.571428571,25.71428571,13.88888889,27.77777778,1426,374,404,129,204,85,90,99,34,7,395927.2639,387844.9243
Stockport 030,E02001216,8.823529412,17.64705882,14.89361702,27.65957447,1879,572,572,156,230,64,113,107,48,17,387192.3239,387252.3351
Stockport 031,E02001217,8.333333333,22.22222222,20,35.55555556,1715,273,460,242,192,108,182,177,61,20,392170.0497,387269.5968
Stockport 032,E02001218,6.060606061,18.18181818,8.333333333,22.22222222,1464,488,419,117,187,64,80,67,37,5,388946.2243,386739.4489
Stockport 033,E02001219,8,24,17.24137931,31.03448276,1298,328,389,143,194,79,67,66,29,3,391345.9842,386313.4825
Stockport 034,E02001220,9.090909091,18.18181818,13.15789474,28.94736842,1424,398,387,156,179,68,115,75,41,5,386652.9347,386222.451
Stockport 035,E02001221,9.523809524,19.04761905,11.11111111,25,1432,383,409,171,189,76,89,84,27,4,392487.1386,386056.9013
Stockport 036,E02001222,7.894736842,18.42105263,23.80952381,38.0952381,1473,345,413,168,226,77,89,99,51,5,384804.0704,386143.1924
Stockport 037,E02001223,5.714285714,17.14285714,14.70588235,29.41176471,1608,550,447,147,231,47,81,64,37,4,389741.5389,385796.0494
Stockport 038,E02001224,10.52631579,21.05263158,13.33333333,36.66666667,1308,312,380,147,207,65,102,65,25,5,395159.0831,385481.7787
Stockport 039,E02001225,6.976744186,18.60465116,7.01754386,19.29824561,1851,612,536,167,203,91,114,75,48,5,387496.7914,385416.5167
Stockport 040,E02001226,10,22.5,25,36.53846154,1745,395,461,200,278,83,132,127,63,6,385460.7058,385496.6637
Stockport 041,E02001227,6.896551724,13.79310345,10.52631579,21.05263158,1349,539,401,71,166,44,54,45,27,2,388197.8186,384853.7251
Stockport 042,E02001228,,14.28571429,12,28,1535,622,449,103,195,40,63,32,25,6,389252.1694,383974.7808
Tameside 001,E02001229,10.41666667,20.83333333,12.6984127,28.57142857,2747,488,742,359,309,205,254,289,85,16,397421.7069,402393.8544
Tameside 002,E02001230,,19.04761905,23.52941176,41.17647059,1430,242,306,137,232,102,150,194,59,8,394120.9017,401090.9725
Tameside 003,E02001231,6.896551724,20.68965517,15.78947368,29.8245614,1898,281,446,234,236,139,202,263,83,14,398195.5888,400710.2136
Tameside 004,E02001232,11.9047619,23.80952381,26.86567164,38.80597015,2291,221,390,258,258,177,298,452,212,25,395159.395,400200.9688
Tameside 005,E02001233,15.625,25,26.92307692,40.38461538,1964,176,371,248,246,156,263,369,120,15,392953.7814,400145.7997
Tameside 006,E02001234,8.888888889,20,25,43.75,2033,167,359,277,222,140,306,376,157,29,394068.4814,400159.4401
Tameside 007,E02001235,11.11111111,22.22222222,18.36734694,32.65306122,1909,220,402,226,259,145,237,315,98,7,394836.3813,399258.4066
Tameside 008,E02001236,15.38461538,23.07692308,29.41176471,41.17647059,1604,132,244,183,178,106,262,324,143,32,396120.2031,399197.9479
Tameside 009,E02001237,8.571428571,22.85714286,18.36734694,28.57142857,1906,260,426,235,238,127,221,282,95,22,397557.7084,399078.0192
Tameside 010,E02001238,11.11111111,25.92592593,19.60784314,33.33333333,2050,268,439,277,236,179,268,283,87,13,391049.4783,398758.2374
Tameside 011,E02001239,10.52631579,26.31578947,25,40,2558,271,510,346,268,229,350,415,143,26,390109.4235,398719.1885
Tameside 012,E02001240,14.28571429,23.80952381,27.27272727,40.90909091,1725,185,344,242,193,134,224,299,94,10,389185.9802,398575.6166
Tameside 013,E02001241,11.84210526,27.63157895,24.17582418,41.75824176,2509,133,308,250,385,192,376,544,272,49,393040.8122,398578.7917
Tameside 014,E02001242,11.11111111,20,22.5,32.5,1863,310,484,249,255,136,169,189,53,18,391105.6212,397740.7674
Tameside 015,E02001243,7.142857143,17.85714286,15.90909091,29.54545455,2085,439,520,242,261,123,204,203,86,7,396985.6554,397993.1835
Tameside 016,E02001244,9.375,21.875,16.66666667,30.55555556,1405,197,336,197,169,125,139,186,52,4,395650.7544,397703.6072
Tameside 017,E02001245,11.11111111,24.07407407,26.31578947,38.59649123,2111,255,425,253,190,185,276,381,128,18,394091.1439,397700.6422
Tameside 018,E02001246,13.63636364,29.54545455,21.81818182,34.54545455,1872,179,364,260,170,164,256,329,132,18,395119.0235,397250.7652
Tameside 019,E02001247,14.28571429,26.53061224,27.45098039,39.21568627,1978,224,387,282,227,190,245,305,105,13,392281.2951,396863.53
Tameside 020,E02001248,11.11111111,22.22222222,21.11111111,35.55555556,3156,327,634,417,306,289,431,515,200,37,395039.6533,396082.5267
Tameside 021,E02001249,11.36363636,31.81818182,22.5,40,1707,155,324,220,201,144,276,257,103,27,392719.3726,395770.542
Tameside 022,E02001250,,18.18181818,22.22222222,38.88888889,1726,283,430,244,225,141,154,188,54,7,396099.9181,395527.2493
Tameside 023,E02001251,12.5,29.16666667,16.66666667,36.66666667,1567,287,388,174,219,114,159,169,45,12,399940.7177,395800.4975
Tameside 024,E02001252,7.894736842,23.68421053,20,35.55555556,1911,317,474,284,226,161,175,211,52,11,390335.5837,395198.0709
Tameside 025,E02001253,13.79310345,27.5862069,20.58823529,35.29411765,1307,150,280,190,129,114,169,209,58,8,392060.0351,395223.0774
Tameside 026,E02001254,12.90322581,22.58064516,22.85714286,37.14285714,1447,139,288,227,142,116,208,246,71,10,393229.5844,395010.4849
Tameside 027,E02001255,11.9047619,26.19047619,23.72881356,44.06779661,2058,145,338,284,192,158,310,419,197,15,398086.9144,394746.1809
Tameside 028,E02001256,11.86440678,22.03389831,25.92592593,40.74074074,2528,203,405,320,337,250,340,439,190,44,395136.5123,394566.2972
Tameside 029,E02001257,14.03508772,26.31578947,26.31578947,40.35087719,2259,211,463,320,272,157,327,357,144,8,393148.816,394007.8953
Tameside 030,E02001258,,18.51851852,19.56521739,30.43478261,1898,356,530,247,226,137,155,185,55,7,395133.8109,393570.6644
Trafford 001,E02001259,9.411764706,18.82352941,21.11111111,38.88888889,2888,397,593,303,335,143,358,378,276,105,382477.3178,396063.2304
Trafford 002,E02001260,12,22,16.36363636,36.36363636,2008,442,567,274,183,133,159,185,58,7,376816.5021,395672.8966
Trafford 003,E02001261,10.76923077,23.07692308,22.85714286,38.57142857,2425,398,607,340,247,134,235,313,120,31,380185.174,395430.3053
Trafford 004,E02001262,6.557377049,16.39344262,20.54794521,35.61643836,2090,429,438,212,308,99,201,238,154,11,381748.023,395321.1511
Trafford 005,E02001263,8.928571429,17.85714286,16.36363636,32.72727273,2059,553,610,214,236,123,132,140,44,7,374966.9054,395274.5155
Trafford 006,E02001264,9.375,20.3125,23.1884058,39.13043478,2314,404,630,304,305,127,205,255,78,6,378574.8768,394952.2758
Trafford 007,E02001265,5,18.33333333,23.33333333,36.66666667,2135,401,601,291,237,148,178,204,68,7,373948.126,394858.7127
Trafford 008,E02001266,10.63829787,25.53191489,27.65957447,38.29787234,1733,279,402,234,214,96,184,224,86,14,378038.0529,394697.3897
Trafford 009,E02001267,6.666666667,20,16.27906977,27.90697674,1812,467,491,241,172,95,133,149,56,8,376804.2654,394622.4373
Trafford 010,E02001268,4.651162791,18.60465116,16.27906977,32.55813953,1761,461,535,189,180,103,128,124,35,6,375810.5161,394492.3054
Trafford 011,E02001269,6.666666667,18.33333333,21.66666667,40,2143,456,592,245,251,97,187,208,94,13,379843.3834,394587.4246
Trafford 012,E02001270,5.333333333,17.33333333,14.28571429,23.21428571,2254,764,633,198,221,103,153,119,48,15,378387.4901,392482.7334
Trafford 013,E02001271,8.163265306,20.40816327,15.09433962,33.96226415,1735,352,437,232,217,92,152,173,70,10,376844.8272,392436.2595
Trafford 014,E02001272,7.01754386,19.29824561,13.55932203,25.42372881,2023,687,588,192,221,77,123,91,42,2,379832.4352,391635.7886
Trafford 015,E02001273,4.225352113,16.90140845,11.11111111,26.38888889,2395,849,717,227,205,105,126,104,46,16,378845.8743,391643.6892
Trafford 016,E02001274,7.5,17.5,13.1147541,26.2295082,1885,749,467,157,248,58,88,67,43,8,377181.4802,391454.2544
Trafford 017,E02001275,10.52631579,26.31578947,26.25,43.75,2144,185,372,244,217,201,366,369,164,26,371442.0866,391194.4851
Trafford 018,E02001276,7.042253521,21.12676056,20.63492063,33.33333333,2136,458,545,267,236,112,202,188,115,13,380282.9537,390984.8392
Trafford 019,E02001277,6.329113924,21.51898734,23.86363636,39.77272727,2510,570,516,274,257,127,291,324,127,24,376135.5861,390297.9227
Trafford 020,E02001278,6.25,15.625,16.66666667,30.55555556,2214,806,650,219,229,74,103,88,34,11,377372.51,390151.283
Trafford 021,E02001279,7.936507937,19.04761905,12.67605634,25.35211268,2143,775,632,205,235,88,104,70,30,4,378307.5179,390017.3342
Trafford 022,E02001280,11.11111111,24.07407407,19.48051948,33.76623377,2048,420,464,232,286,111,216,212,98,9,379428.948,388702.5336
Trafford 023,E02001281,4.444444444,15.55555556,10.34482759,25.86206897,1867,674,544,177,206,70,94,72,27,3,378268.8732,388691.5612
Trafford 024,E02001282,3.75,15,15.85365854,28.04878049,2739,985,754,219,273,109,160,160,68,11,376990.9595,388662.0691
Trafford 025,E02001283,5.660377358,16.98113208,12.96296296,25.92592593,2355,985,610,151,286,75,100,87,51,10,375859.2579,388216.0266
Trafford 026,E02001284,3.571428571,16.07142857,16,28,2136,988,574,118,250,50,77,43,27,9,377683.6905,386974.4416
Trafford 027,E02001285,,14.70588235,13.63636364,27.27272727,1834,786,481,96,242,47,67,57,52,6,376222.1943,386627.7544
Trafford 028,E02001286,6.976744186,16.27906977,10.63829787,25.53191489,1889,808,430,104,334,35,68,52,51,7,379068.8074,386002.3779
Wigan 001,E02001287,10.25641026,20.51282051,14.63414634,21.95121951,1813,370,516,216,212,138,149,172,35,5,355443.749,410661.0753
Wigan 002,E02001288,8.333333333,20.83333333,15.68627451,29.41176471,2156,476,649,230,259,140,140,194,58,10,356701.1319,409981.3889
Wigan 003,E02001289,9.433962264,22.64150943,16.66666667,33.33333333,2568,494,734,305,299,187,185,294,63,7,354229.5768,408662.6628
Wigan 004,E02001290,10,23.33333333,21.21212121,36.36363636,1571,290,406,163,202,86,158,195,68,3,360900.1795,408493.6349
Wigan 005,E02001291,10.41666667,27.08333333,22.64150943,39.62264151,2085,220,376,241,229,159,285,437,124,14,356847.5828,407193.6376
Wigan 006,E02001292,10,22.5,17.0212766,29.78723404,2010,366,539,239,223,129,183,249,72,10,358254.7382,406986.1429
Wigan 007,E02001293,11.76470588,26.47058824,22.5,40,1642,209,377,193,189,142,169,288,61,14,360104.592,406731.9489
Wigan 008,E02001294,13.63636364,25,25,43.18181818,2107,247,496,284,237,141,232,355,82,33,357460.9733,406382.9516
Wigan 009,E02001295,11.62790698,30.23255814,29.54545455,40.90909091,1738,92,249,182,193,130,238,473,170,11,359070.2664,405764.2489
Wigan 010,E02001296,12.5,32.29166667,31.39534884,45.34883721,2376,76,249,186,213,189,381,728,323,31,355837.2891,405485.0864
Wigan 011,E02001297,9.756097561,26.82926829,32.55813953,44.18604651,1725,153,317,176,188,147,231,397,99,17,354694.5243,405474.6113
Wigan 012,E02001298,11.29032258,25.80645161,29.85074627,44.7761194,2148,107,283,205,257,190,305,583,191,27,360023.9213,405286.4943
Wigan 013,E02001299,12,26,27.11864407,38.98305085,2295,258,485,290,278,183,285,383,123,10,361865.3884,404430.2118
Wigan 014,E02001300,12.76595745,25.53191489,26.41509434,39.62264151,2055,163,380,248,234,174,268,434,136,18,355577.6435,404488.7087
Wigan 015,E02001301,11.29032258,24.19354839,27.86885246,44.26229508,2373,183,430,249,226,210,333,552,148,42,357086.3258,404453.5133
Wigan 016,E02001302,9.433962264,24.52830189,22.80701754,35.0877193,2006,193,370,236,225,156,281,386,141,18,362563.5248,404097.6095
Wigan 017,E02001303,10.9375,23.4375,27.94117647,42.64705882,2357,211,403,281,273,170,325,448,216,30,367384.1239,403975.5256
Wigan 018,E02001304,11.11111111,23.45679012,17.24137931,28.73563218,3275,630,901,407,381,257,246,340,89,24,353099.7873,404032.3614
Wigan 019,E02001305,8.510638298,21.27659574,20.83333333,35.41666667,2242,268,494,275,286,215,250,347,100,7,363859.1057,403299.2441
Wigan 020,E02001306,8.108108108,21.62162162,25.64102564,38.46153846,1857,230,359,236,230,166,211,342,75,8,357299.3447,403219.5903
Wigan 021,E02001307,12.19512195,24.3902439,21.33333333,36,3033,532,830,376,350,269,255,355,56,10,355783.5762,403033.4461
Wigan 022,E02001308,13.79310345,27.5862069,15.15151515,30.3030303,1522,176,339,217,209,114,188,217,57,5,368157.8279,403027.4272
Wigan 023,E02001309,10.86956522,19.56521739,25.53191489,40.42553191,2190,293,522,267,286,188,235,301,82,16,366711.0047,402880.7169
Wigan 024,E02001310,12.16216216,28.37837838,25.67567568,39.18918919,2435,187,407,225,283,196,313,586,209,29,360102.0822,402975.5587
Wigan 025,E02001311,10.41666667,27.08333333,29.16666667,41.66666667,2136,241,465,289,276,180,254,290,124,17,369425.7566,402194.8171
Wigan 026,E02001312,11.32075472,24.52830189,27.27272727,39.39393939,2210,227,438,247,259,205,278,407,130,19,361438.5836,401700.5311
Wigan 027,E02001313,11.47540984,26.2295082,26.2295082,42.62295082,2111,172,354,213,267,155,326,429,170,25,365075.2408,401683.8995
Wigan 028,E02001314,11.36363636,25,18.33333333,30,2135,366,562,298,276,148,169,222,78,16,369646.6748,401252.5928
Wigan 029,E02001315,13.79310345,27.5862069,24.07407407,38.88888889,2562,487,686,339,326,190,207,230,91,6,370459.7101,400855.8476
Wigan 030,E02001316,11.32075472,24.52830189,25.49019608,43.1372549,1918,129,326,220,232,155,277,417,138,24,365684.2445,400601.3843
Wigan 031,E02001317,6.12244898,24.48979592,26.78571429,35.71428571,2350,307,517,297,304,180,251,365,118,11,366889.9122,400460.2142
Wigan 032,E02001318,11.36363636,27.27272727,27.08333333,43.75,1935,235,415,217,225,153,223,362,91,14,357096.7248,400515.0102
Wigan 033,E02001319,8.928571429,23.21428571,25.53191489,42.55319149,2228,203,400,261,257,190,344,406,151,16,364327.1861,400301.6208
Wigan 034,E02001320,9.302325581,25.58139535,20.83333333,33.33333333,1899,174,397,240,234,150,265,306,117,16,367014.3107,399517.0865
Wigan 035,E02001321,10.20408163,26.53061224,20.68965517,34.48275862,2085,269,504,268,237,157,239,327,75,9,358561.7181,399441.8568
Wigan 036,E02001322,11.11111111,19.44444444,26.66666667,42.22222222,1802,229,435,222,223,142,201,271,72,7,357403.2659,399343.1981
Wigan 037,E02001323,8.163265306,20.40816327,24.48979592,36.73469388,1957,308,448,227,255,142,215,262,87,13,365452.0498,399189.4299
Wigan 038,E02001324,11.11111111,27.77777778,27.41935484,43.5483871,2155,200,436,244,274,196,269,417,100,19,360365.3334,398012.761
Wigan 039,E02001325,9.302325581,23.25581395,21.27659574,34.04255319,2371,492,683,280,273,171,190,217,55,10,361746.8365,397748.7662
Wigan 040,E02001326,12.5,25,22.22222222,37.03703704,2111,386,567,227,276,137,205,245,60,8,363053.8503,397569.4443
